"Categoria","Linguagem | Área","Portfólio PSC","Projeto","Ação","Descrição","Objetivos","Metas | Resultados esperados","Valores | Diretrizes","Unidade","Período","Público Alvo","Subatividade","Público Previsto","Orçamento Previsto","Centros de Custo","Data de Início da Atividade","Necessita de inscrição prévia?","Data ideal para abertura de inscrições?"
"Projeto Local","[""Comunicação""]","Comunicação Institucional","Comunicação Integrada PSC","Planejamento e execução anual de Comunicação Integrada PSC","Garantir uma comunicação integrada e qualificada para as ações do Polo Sociocultural Sesc Paraty ao longo de 2026. A proposta contempla a contratação de serviços especializados em design gráfico, criação de peças digitais e impressas, identidade visual, fotografia, filmagem, edição de vídeos e produção gráfica para sinalização e ambientação dos espaços. Inclui ainda apoio à comunicação institucional em datas comemorativas e ações internas, além da previsão de publicações físicas ou digitais, assegurando coerência estética, visibilidade e registro das atividades no território.","Assegurar suporte técnico e criativo à comunicação institucional do PSC, promovendo a visibilidade das ações, o engajamento do público e a consolidação da imagem do Polo como referência do Departamento Nacional.","Elaborar plano de comunicação anual com foco em públicos estratégicos. Produzir e divulgar conteúdos mensais nas mídias digitais e institucionais. Monitorar indicadores de alcance, engajamento e conversão."," Qualificar e Fortalecer as Ações de Afirmação Institucional e Comunicação / Atuação em Rede","[""Santa Rita"",""Caborê"",""Administrativo""]","[""Janeiro"",""Fevereiro"",""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro"",""Dezembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Público em Geral"",""Sociedade""]","[""Conteúdo multimídia""]","150.000 pessoas alcançadas mensalmente em média","R$ 595.500,00",,,,
"Projeto Local","[""Artes Integradas""]","Comunicação Institucional","Semana S","Semana S 2026","Realizar uma programação de celebração do Sistema S no Sesc Paraty, com apresentações, oficinas, atrações infantis e ações especiais, em dois dias de atividades integradas que valorizem a cultura, a arte, o esporte, a educação e o impacto social do Sesc em Paraty.","Promover momentos de celebração e pertencimento por meio de apresentações e atividades culturais; estimular a participação ativa da comunidade local nas ações do Sesc; fortalecer a presença institucional do Sesc no território; e ampliar o acesso do público preferencial a experiências educativas, artísticas e recreativas de qualidade.",,"Foco na Clientela Preferencial  / Qualificar e Fortalecer as Ações de Afirmação Institucional  / Comunicação Atuação em Rede","[""Caborê""]","[""Maio""]","[""Clientes do Sesc"",""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Público em Geral"",""Sociedade""]","[""Ações mediadas""]","700 pessoas","R$ 50.000,00",,,,
"Projeto Local","[""Audiovisual""]","Difusão e acesso à cultura","Cine Sesc ","Cine Sesc Santa Rita","O Cine Sesc integra as ações do Polo Sociocultural Sesc Paraty, ampliando o acesso à linguagem audiovisual por meio de exibições de filmes, mediação cultural e atividades arte-educativas. Voltado à formação de públicos e à valorização do cinema como expressão artística, o projeto prioriza crianças, adolescentes e seus responsáveis, especialmente os trabalhadores do comércio de bens, serviços e turismo. ","Ampliar o acesso à linguagem audiovisual por meio de uma programação contínua de cinema, promovendo a formação de público, a reflexão crítica e a valorização da diversidade estética, com foco nos trabalhadores do comércio de bens, serviços e turismo e seus dependentes, estudantes da rede pública, instituições sociais e comunidades tradicionais.","Exibir no mínimo 40 sessões de cinema ao longo do ano, alcançando cerca de 1.300 pessoas. Realizar 5 ações educativas e assegurar acessibilidade comunicacional e técnica em todas as exibições.","Ampliar a participação do comercio de bens, serviços e turismo e seus dependentes; 
Fortalecer o reconhecimento do Sesc; 
Atuação em rede; 
Foco na Clientela Preferencial;
Inovação e Transformação Digital;
Qualificar e Fortalecer as Ações de Afirmação Institucional e Comunicação;","[""Santa Rita""]","[""Janeiro"",""Fevereiro"",""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro"",""Dezembro""]","[""Público em Geral""]","[""Exibição""]","  Total de atendimento: 1.300. ","R$ 74.500,00","[""AUDIOVISUAL - EXIBIÇÃO - PSC | Santa Rita"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Audiovisual| Sesc Santa Rita"",""COMUNICAÇÃO - PSC | Audiovisual| Sesc Santa Rita"",""AUDIOVISUAL - AÇÕES FORMATIVAS - PSC | Santa Rita"",""AUDIOVISUAL - AÇÕES MEDIADAS - PSC | Santa Rita""]",,,
"Projeto Local","[""Arte-educação""]","Difusão e acesso à cultura","Sesc Mediações","Sesc Mediações 2026 - Ações de mediação cultural e mobilização com os públicos.","O projeto promove ações de mediação cultural comunitária com foco na ampliação do acesso e na mobilização de públicos diversos, por meio de visitas mediadas, rodas de conversa, articulação territorial e garantia de traslado e alimentação. A acessibilidade é tratada de forma transversal, considerando recursos como Libras, audiodescrição, legendagem, além da promoção de acessibilidade atitudinal e econômica. As ações são voltadas a comerciários, seus dependentes, estudantes, professores, pessoas com deficiência, parceiros institucionais e outros grupos do território, assegurando participação plena e equitativa nas programações do Polo Sociocultural Sesc Paraty.","Desenvolver ações de arte-educação articuladas ao Programa Cultura por meio de mediação cultural, formação de públicos e mobilização da clientela preferencial, estimulando o pensamento crítico e a participação ativa.","Realizar a mobilização de públicos por meio da mediação territorial, contemplando pelo menos 10 comunidades e grupos diferentes no território; realizar no mínimo 60 visitas mediadas, com atendimento total de aproximadamente 1.500 pessoas.","Ampliar a participação do comercio de bens, serviços e turismo e seus dependentes; 
Fortalecer o reconhecimento do Sesc; 
Atuação em rede; 
Foco na Clientela Preferencial;
Qualificar e Fortalecer as Ações de Afirmação Institucional e Comunicação;","[""Santa Rita"",""Caborê""]","[""Janeiro"",""Fevereiro"",""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro"",""Dezembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes""]","[""Ações mediadas""]","Total de atendimento: 1500 pessoas","R$ 166.500,00","[""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Arte Educação | Sesc Santa Rita"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Arte Educação| Sesc Cabore"",""ARTE EDUCAÇÃO - AÇÕES FORMATIVAS - PSC | Cabore"",""ARTE EDUCAÇÃO - AÇÕES MEDIADAS - PSC | Cabore"",""ARTE EDUCAÇÃO - APRESENTAÇÕES - PSC | Cabore"",""COMUNICAÇÃO - PSC | Arte Educação| Sesc Cabore"",""COMUNICAÇÃO - PSC | Arte Educação | Sesc Santa Rita"",""ARTE EDUCAÇÃO - AÇÕES FORMATIVAS - PSC | Santa Rita"",""ARTE EDUCAÇÃO - AÇÕES MEDIADAS - PSC | Santa Rita"",""ARTE EDUCAÇÃO - APRESENTAÇÕES - PSC | Santa Rita""]",,,
"Projeto Local","[""Artes Integradas"",""Artes Cênicas"",""GEA""]","Difusão e acesso à cultura","Vozes da Memória (TSPI)","Coral Cênico","Vozes da Memória é uma atividade formativa de Trabalho Social com Pessoas Idosas (TSPI), em parceria com a Gerência de Assistência (GEA), no formato de coral cênico para público 60+. Promove convívio social, inclusão e acessibilidade, valorizando o patrimônio imaterial e as memórias por meio da arte. Com encontros semanais estimula a socialização, o bem-estar e o registro das histórias pessoais, criando conexões entre passado e presente. ","Promover o convívio social e a valorização da maturidade por meio de ações artísticas transdisciplinares voltadas a pessoas idosas, integrando música e dança com foco no bem-estar, na autoestima e na valorização da memória coletiva.
                    ","Ofertar 2 turmas anuais com 25 alunos, encontros regulares e culminância pública. Estimular autoria e memórias via rodas de conversa e apresentações com 60% da clientela preferencial.","Valores: Acolhimento/ Diversidade/ Inovação
Diretrizes estratégicas: Qualificar e Fortalecer as Ações de Afirmação Institucional e Comunicação","[""Caborê""]","[""Fevereiro"",""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro"",""Dezembro""]","[""Clientes do Sesc"",""Sociedade""]","[""Ações formativas""]","50 alunos (2 turmas de 25 alunos)","R$ 120.000,00","[""COMUNICAÇÃO - PSC | Artes Cênicas | Sesc Cabore"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Artes Cênicas | Sesc Cabore"",""ARTES CÊNICAS - AÇÕES FORMATIVAS - PSC - CABORÊ""]",,,
"Projeto Local","[""Literatura""]","Difusão e acesso à cultura","Sesc na Flip ","Sesc na Flip","O projeto ""Sesc na Flip"" visa fortalecer a presença do Sesc no cenário cultural nacional, impulsionar a economia criativa local e promover o acesso à cultura por meio de uma programação diversificada e inclusiva, que inclui Cafés Literários, Narrações de Histórias, Espetáculos, Performances, Exposições, Oficinas e Saraus, consolidando o Sesc como um parceiro fundamental na valorização da literatura e do desenvolvimento sociocultural de Paraty.","Fortalecer a presença institucional do Sesc durante a Festa Literária Internacional de Paraty (FLIP), por meio de ações que articulem curadoria literária, formação de leitores e valorização da produção artística e cultural brasileira, com ênfase no diálogo com a comunidade local e a clientela preferencial.","Fortalecer a presença do Sesc na FLIP com ações que articulem curadoria literária, formação de leitores e valorização da cultura brasileira, com ênfase no diálogo com a comunidade local e a clientela preferencial.","Qualificar e Fortalecer as Ações de Afirmação Institucional e Comunicação
Atuação em Rede","[""Santa Rita"",""Caborê""]","[""Julho""]","[""Público em Geral""]","[""Ações mediadas""]","10.000 atendimentos","R$ 1.728.450,00","[""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Literatura| Sesc Cabore"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Literatura| Sesc Santa Rita"",""AÇÕES FORMATIVAS - PSC - SANTA RITA"",""AÇÕES FORMATIVAS - PSC - CABORÊ"",""APRESENTAÇÕES - PSC - SANTA RITA"",""APRESENTAÇÕES - PSC - CABORÊ"",""AÇÕES MEDIADAS - PSC - SANTA RITA"",""AÇÕES MEDIADAS - PSC - CABORÊ"",""COMUNICAÇÃO - PSC | Literatura| Sesc Santa Rita"",""COMUNICAÇÃO - PSC | Literatura| Sesc Cabore""]",,,
"Projeto Local","[""Música""]","Difusão e acesso à cultura","Minha Música","Minha Música","Minha Música explora a relação entre música e a vida dos trabalhadores do comércio de Paraty, registrando suas histórias em uma série audiovisual a ser compartilhada em redes sociais e eventos públicos. Ambos visam envolver e fortalecer o diálogo com os públicos do Sesc.","Oferecer ao público experiências musicais diversas por meio de apresentações e encontros formativos com artistas do território e de outras regiões, promovendo o acesso à música como linguagem de fruição, formação e pertencimento cultural.","Realizar 05 entrevistas com trabalhadores do comércio para produção de 05 vídeos de memória musical e 5 audições públicas","Foco na Clientela Preferencial
Atuação em Rede","[""Santa Rita"",""Caborê""]","[""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro"",""Dezembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Clientes do Sesc"",""Público em Geral""]","[""Apresentações""]","
Minha Música | 5 audições | 20 pessoas por audição - 100 atendimentos","R$ 182.000,00","[""MÚSICA - AÇÕES FORMATIVAS - PSC | Santa Rita"",""MÚSICA - APRESENTAÇÕES - PSC | Santa Rita"",""MÚSICA - AÇÕES FORMATIVAS - PSC | Cabore"",""MÚSICA - APRESENTAÇÕES - PSC | Cabore"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Música| Sesc Cabore"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Música| Sesc Santa Rita""]",,,
"Projeto Local","[""Artes Cênicas""]","Difusão e acesso à cultura","Incentivo artístico e cultural","Palco Giratório","Na 28ª edição, o Palco Giratório é o maior projeto nacional de circulação de espetáculos, com foco na diversidade cultural. Nesta edição, promove residências artísticas em bairros periféricos para fortalecer a acessibilidade cultural, ampliando atividades formativas e de fruição em teatro, dança e circo, democratizando a cultura e valorizando redes locais.","Fortalecer a difusão das artes cênicas e o intercâmbio cultural entre artistas e comunidades por meio da participação do PSC no Circuito Nacional Palco Giratório, promovendo o acesso da população local a espetáculos e ações formativas de qualidade.","Realizar o Palco Giratório em Paraty com apresentação pública e ações paralelas. Garantir presença do público local e mediação com a clientela preferencial, com registro de participação.","Valores: acolhimento, diversidade, excelência, inovação
Diretrizes estratégicas: Atuação em Rede, Qualificar e Fortalecer as Ações de Afirmação Institucional e Comunicação e Foco na clientela preferencial","[""Caborê""]","[""Setembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Clientes do Sesc"",""Público em Geral"",""Sociedade"",""Funcionários""]","[""Incentivo artístico e cultural""]","300 atendimentos","R$ 256.020,00","[""ARTES CÊNICAS - INCENTIVO ARTÍSTICO E CULTURAL - PSC - CABORÊ"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Artes Cênicas | Sesc Cabore"",""COMUNICAÇÃO - PSC | Artes Cênicas | Sesc Cabore""]",,,
"Projeto Local","[""Memória e Patrimônio Social""]","Difusão e acesso à cultura","Exposições","Fazeres Daqui ","O Fazeres Daqui é um projeto que reafirma o compromisso do Sesc com a preservação e a valorização do patrimônio cultural como direito, linguagem e recurso estratégico para a construção de identidades, pertencimento e cidadania. Inserido no ciclo de Memória Social e Patrimônio, o projeto atua como espaço de ativação e difusão, transformando saberes e práticas tradicionais em experiências culturais, educativas e sensoriais com foco nas demandas dos trabalhadores do comércio e seus dependentes . Sua abordagem articula diversidade sociocultural, inovação e acessibilidade, propondo novas formas de fruição e transmissão do patrimônio para diferentes públicos, com prioridade à clientela preferencial do Sesc. Ao dar visibilidade às manifestações locais e aos seus protagonistas, o projeto contribui para fortalecer redes comunitárias, ampliar repertórios e promover uma cultura viva, crítica e inclusiva.","Consolidar a exposição Fazeres Daqui como espaço de valorização dos saberes populares e tradicionais de Paraty, promovendo a circulação de conhecimentos, a salvaguarda do patrimônio imaterial e a mediação ativa com o público do Sesc.","Implementar projeto expográfico e educativo da exposição, realizar 6 mediações temáticas, monitorar acessos da clientela preferencial e elaborar relatório anual.","Valores: Acolhimento; Diversidade; Sustentatibilidade; Inovação; Excelência.

Diretrizes: 

Foco na Clientela Preferencial – Priorizando ações voltadas aos trabalhadores do comércio e seus dependentes, garantindo sua participação ativa.

Atuação em Rede – Fortalecendo vínculos com comunidades locais, mestres e parceiros institucionais, articulando uma rede de valorização do patrimônio.

Sustentabilidade – Integra práticas culturais, educativas e ambientais que asseguram a continuidade e a preservação do patrimônio.

Qualificar e Fortalecer as Ações de Afirmação Institucional e Comunicação – Reforça o papel do Sesc como referência na preservação do patrimônio cultural, promovendo ampla visibilidade.

Inovação e Transformação Digital – Utiliza estratégias e ferramentas inovadoras para difundir conteúdos e ampliar o acesso aos registros e saberes.","[""Santa Rita""]","[""Abril"",""Maio"",""Junho"",""Julho"",""Setembro"",""Outubro"",""Novembro"",""Dezembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Clientes do Sesc"",""Público em Geral"",""Sociedade"",""Comunidade acadêmica""]","[""Exposição"",""Ações mediadas""]","10.000","R$ 679.300,00","[""MEMÓRIA SOCIAL E PATRIMÔNIO CULTURAL - EXPOSIÇÕES - PSC | SANTA RITA"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Patrimônio| Sesc Santa Rita"",""COMUNICAÇÃO - PSC | Patrimônio| Sesc Santa Rita""]",,,
"Projeto Local","[""Música""]","Difusão e acesso à cultura","Sonora Brasil","Sonora Brasil","O Sonora Brasil é um dos maiores e mais longevos projetos de circulação musical do Sesc, integrando o portfólio estratégico do Departamento Nacional. A cada edição, um tema orienta a curadoria nacional e a seleção de artistas, que desenvolvem apresentações inéditas alinhadas ao tema. Em 2026, na 28ª edição, o tema será “Raízes e Ritmos: Sons Afro-indígenas Históricos e Contemporâneos”, com quatro grupos selecionados para circular pelo país. A programação inclui shows e atividades formativas.","Promover a fruição musical e o acesso à diversidade sonora brasileira por meio da circulação nacional do projeto Sonora Brasil, valorizando manifestações musicais pouco difundidas e proporcionando experiências culturais qualificadas à clientela preferencial.","formativas associadas (bate-papos, mediações ou oficinas). Assegurar a presença de comerciários em pelo menos 50% do público total.","Foco na clientela principal
Atuação em rede","[""Caborê""]","[""Novembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Público em Geral"",""Clientes do Sesc""]","[""Apresentações""]","4 apresentações
200 pessoas por show
Total: 800 pessoas","R$ 420.222,00","[""MÚSICA - AÇÕES FORMATIVAS - PSC | Santa Rita"",""MÚSICA - APRESENTAÇÕES - PSC | Santa Rita"",""MÚSICA - APRESENTAÇÕES - PSC | Cabore"",""MÚSICA - AÇÕES FORMATIVAS - PSC | Cabore"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Música| Sesc Santa Rita"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Música| Sesc Cabore""]",,,
